sample_id,source_url,content_summary,comment_theme,engagement_visible,evidence_level
"xhs-69f205bb000000001a035cbb","https://www.rednote.com/explore/69f205bb000000001a035cbb","标题表达品牌价格/定位变化；评论同时提到价格上涨、质量尚可、应急购买便利和生活用品齐全。","价格变贵但质量/便利可抵消；用户频繁询价；应急一站购价值突出","点赞282;收藏60;评论9","A-详情页含公开评论"
"xhs-692547cb000000001e039226","https://www.rednote.com/explore/692547cb000000001e039226","均价约20元的名创彩妆集中测评，关注是否真正好用而非仅便宜。","评论未稳定加载；以正文和互动量作为证据","点赞3333;收藏1699;评论81","A-详情页含公开评论"
"xhs-691b121d00000000070328c1","https://www.rednote.com/explore/691b121d00000000070328c1","约200元完成全套彩妆，强调真实消费和学生党可负担。","色号选择、修容下手轻重、腮红液新手门槛、完整教程需求","点赞551;收藏340;评论34","A-详情页含公开评论"
"xhs-688369540000000010011c90","https://www.rednote.com/explore/688369540000000010011c90","跨品类无限回购清单，评论围绕单价、睫毛夹、杯子、护手霜和IP设计。","强询价；功能好用带来回购；IP联名好看但仍需实用","点赞1514;收藏580;评论14","A-详情页含公开评论"
"xhs-6a1c244f000000003502498c","https://www.rednote.com/explore/6a1c244f000000003502498c","均价10元左右的年度好用物，集中在彩妆、降温、出行和梳子。","冰凉贴/湿巾、牙线棒、出行便携品；用户补充手机降温场景","点赞662;收藏318;评论11","A-详情页含公开评论"
"xhs-6a0fc757000000003700c989","https://www.rednote.com/explore/6a0fc757000000003700c989","Chiikawa联名到店实况，角色偏好、价格、门店地址和预约规则是主要问题。","乌萨奇/小八角色偏好；69.9/99元询价；正佳广场地址；预约和到货信息","点赞1298;收藏167;评论57","A-详情页含公开评论"
"xhs-6a0096d5000000003700c839","https://www.rednote.com/explore/6a0096d5000000003700c839","Hello Kitty香薰盲盒四连拆，卖点叠加毛绒、录音、变色与淡香。","评论未稳定加载；正文显示多感官/可玩功能提升盲盒价值","点赞213;收藏62;评论6","A-详情页含公开评论"
"xhs-6a085823000000000702e0de","https://www.rednote.com/explore/6a085823000000000702e0de","苹果香全家桶以无广、淡香、夏日香氛为主要卖点。","评论未稳定加载；收藏高于点赞的一半，显示购买参考价值","点赞584;收藏326;评论20","A-详情页含公开评论"
"xhs-69c3bde4000000001f000d99","https://www.rednote.com/explore/69c3bde4000000001f000d99","开放式必买榜征集产生高密度真实使用反馈，跨耳机、浴巾、梳子、香氛、彩妆和毛绒。","耳机耐用、浴巾快干、梳子长期复购、眼线笔高复购、淡香推荐、毛绒角色吸引","点赞4351;收藏2665;评论611","A-详情页含公开评论"
"xhs-6964d649000000001a022148","https://www.rednote.com/explore/6964d649000000001a022148","与MUJI收纳包对比，名创价格约为一半，但做工、内衬和原创性引发争议。","反对抄袭；一分钱一分货；名创19.9元价格优势；外观相似但细节有差","点赞2872;收藏533;评论340","A-详情页含公开评论"
"xhs-6a033df40000000036018774","https://www.rednote.com/explore/6a033df40000000036018774","两款小风扇二选一，体现参数和场景比较信息不足。","评论未稳定加载；需要结构化对比续航、噪音、风量和便携性","点赞96;收藏11;评论42","A-详情页含公开评论"
"xhs-69959b00000000001b01e498","https://www.rednote.com/explore/69959b00000000001b01e498","轻松小熊与角落生物在北京MINISO FRIENDS集中陈列，互动量高。","评论未稳定加载；地点和角色组合是主要传播信息","点赞3770;收藏436;评论260","A-详情页含公开评论"
"xhs-6a5719b6000000000f0319e1","https://www.rednote.com/explore/6a5719b6000000000f0319e1","东北首家FRIENDS试营业测评指出门店偏小、货品不够丰富、限量盲盒标识不清，体验弱于LAND。","店型分级困惑；限定品/库存询问；FRIENDS与LAND货盘差异；正式开业预期","点赞346;收藏75;评论80","A-详情页含公开评论"
